group,variable,value
Argentina,Apr,6629.813995
Argentina,Feb,3957.915001
Argentina,Mar,5305.520081
Argentina,Apr,13810.97299
Argentina,May,17675.57397
Argentina,Jun,15130.41296
Argentina,Jul,10094.19295
Argentina,Oct,5621.936008
Argentina,Sept,1566.282989
Argentina,Oct,701.0500011
Argentina,Nov,921.5720062
Argentina,Dec,7111.792009
Bolivia,Apr,4639.274998
Bolivia,Feb,2632.094013
Bolivia,Mar,1914.331993
Bolivia,Apr,2562.231991
Bolivia,May,5525.716019
Bolivia,Jun,5590.996994
Bolivia,Jul,2771.73399
Bolivia,Oct,1421.208002
Bolivia,Sept,782.5520039
Bolivia,Oct,1074.841999
Bolivia,Nov,1961.28599
Bolivia,Dec,5087.81094
Brazil,Apr,7094.252983
Brazil,Feb,6267.930023
Brazil,Mar,10242.28105
Brazil,Apr,8878.734955
Brazil,May,8744.384033
Brazil,Jun,9346.412109
Brazil,Jul,6278.51899
Brazil,Oct,4008.339993
Brazil,Sept,2425.710999
Brazil,Oct,1775.378996
Brazil,Nov,1326.057003
Brazil,Dec,890.3109932
Chile,Apr,6026.195
Chile,Feb,4974.359016
Chile,Mar,8718.391144
Chile,Apr,10340.22298
Chile,May,9493.141983
Chile,Jun,8751.188057
Chile,Jul,3053.959995
Chile,Oct,1168.347
Chile,Sept,795.2059937
Chile,Oct,2080.417992
Chile,Nov,3453.578003
Chile,Dec,2231.359005
Colombia,Apr,8715.521057
Colombia,Feb,3022.82402
Colombia,Mar,2981.974003
Colombia,Apr,8739.383011
Colombia,May,10539.608
Colombia,Jun,16087.55179
Colombia,Jul,10493.461
Colombia,Oct,2385.897022
Colombia,Sept,929.001997
Colombia,Oct,869.6060047
Colombia,Nov,1296.546005
Colombia,Dec,1692.483007
Ecuador,Apr,2128.54704
Ecuador,Feb,1962.504059
Ecuador,Mar,2366.538038
Ecuador,Apr,2950.226032
Ecuador,May,2454.031043
Ecuador,Jun,1803.620036
Ecuador,Jul,1603.686034
Ecuador,Oct,798.3430204
Ecuador,Sept,468.5290052
Ecuador,Oct,393.5890046
Ecuador,Nov,582.0780098
Ecuador,Dec,1226.873021
Guyana,Apr,1618.596021
Guyana,Feb,1167.268009
Guyana,Mar,2057.555002
Guyana,Apr,3751.572998
Guyana,May,4536.757015
Guyana,Jun,3836.895016
Guyana,Jul,3051.70901
Guyana,Oct,3740.446024
Guyana,Sept,7764.054077
Guyana,Oct,4601.057999
Guyana,Nov,2876.124016
Guyana,Dec,2100.829995
Paraguay,Apr,3730.414978
Paraguay,Feb,3870.812981
Paraguay,Mar,8139.66597
Paraguay,Apr,9498.954971
Paraguay,May,11253.48293
Paraguay,Jun,10013.35492
Paraguay,Jul,4292.449017
Paraguay,Oct,905.5069995
Paraguay,Sept,212.2170002
Paraguay,Oct,153.2280016
Paraguay,Nov,302.623003
Paraguay,Dec,448.7710004
Peru,Apr,3615.372959
Peru,Feb,5451.579018
Peru,Mar,6606.366005
Peru,Apr,7360.970016
Peru,May,4582.255013
Peru,Jun,2836.922031
Peru,Jul,1742.399002
Peru,Oct,1121.836005
Peru,Sept,755.1919975
Peru,Oct,778.0140009
Peru,Nov,1014.841004
Peru,Dec,1776.233014
Suriname,Apr,3604.903999
Suriname,Feb,794.4380112
Suriname,Mar,312.2740059
Suriname,Apr,2007.938004
Suriname,May,7428.243004
Suriname,Jun,10966.82401
Suriname,Jul,5855.544983
Suriname,Oct,6378.161953
Suriname,Sept,19962.91605
Suriname,Oct,11953.80199
Suriname,Nov,2959.323009
Suriname,Dec,2585.566002
Uruguay,Apr,6608.34301
Uruguay,Feb,4749.334007
Uruguay,Mar,13893.60904
Uruguay,Apr,27135.41699
Uruguay,May,28069.15787
Uruguay,Jun,21867.20889
Uruguay,Jul,3554.696995
Uruguay,Oct,998.3079939
Uruguay,Sept,1166.880995
Uruguay,Oct,1452.320982
Uruguay,Nov,1693.351986
Uruguay,Dec,3999.070002
Venezuela,Apr,472.3689995
Venezuela,Feb,430.6789989
Venezuela,Mar,755.4669991
Venezuela,Apr,1313.917
Venezuela,May,1289.038006
Venezuela,Jun,1362.003002
Venezuela,Jul,1167.920008
Venezuela,Oct,1009.729992
Venezuela,Sept,1223.427004
Venezuela,Oct,1349.142998
Venezuela,Nov,853.1320076
Venezuela,Dec,471.3120003
